,Arithmetic Mean,Geometric Mean,Harmonic Mean,Median,Mode,Min,1 pct,50 pct
person_emp_length,4.73,4.24,3.17,4,0,0,0,4
person_age,27.62,27.06,26.58,26,23,20,21,26
loan_int_rate,10.79,10.33,9.86,10.95,10.99,5.42,5.42,10.95
cb_person_cred_hist_length,5.81,4.73,3.94,4,3,2,2,4
loan_percent_income,0.16,0.13,0.11,0.14,0.1,0,0.02,0.14
person_income,64770.71,56710.63,50118.47,57000,60000,4000,17760,57000
loan_amnt,9350.35,7642.48,5978.35,8000,10000,500,1200,8000
,,,,,,,,
,99 pct,Max,Range,Standard Deviation,Variance,Coefficient of Variation,Skewness,Kurtosis
person_emp_length,17,123,123,4.03,16.2,0.85,2.27,34.94
person_age,49,144,124,6.15,37.8,0.22,2.21,11.39
loan_int_rate,17.93,23.22,17.8,3.11,9.67,0.29,0.21,-0.68
cb_person_cred_hist_length,17,30,28,4.04,16.31,0.7,1.63,3.57
loan_percent_income,0.45,0.83,0.83,0.1,0.01,0.6,1.01,1.08
person_income,198128.25,6000000,5996000,47936.7,2297927050,0.74,28.73,2777.96
loan_amnt,25000,35000,34500,5848.57,34205810.44,0.63,1.21,1.66
